A0,28
Bb0,29
B0,31
C1,33
Db1,35
D1,37
Eb1,39
E1,41
F1,44
Gb1,46
G1,49
Ab1,52
A1,55
Bb1,58
B1,62
C2,65
Db2,69
D2,73
Eb2,78
E2,82
F2,87
Gb2,93
G2,98
Ab2,104
A2,110
Bb2,117
B2,123
C3,131
Db3,139
D3,147
Eb3,156
E3,165
F3,175
Gb3,185
G3,196
Ab3,208
A3,220
Bb3,233
B3,247
C4,262
Db4,277
D4,294
Eb4,311
E4,330
F4,349
Gb4,370
G4,392
Ab4,415
A4,440
Bb4,466
B4,494
C5,523
Db5,554
D5,587
Eb5,622
E5,659
F5,698
Gb5,740
G5,784
Ab5,831
A5,880
Bb5,932
B5,988
C6,1047
Db6,1109
D6,1175
Eb6,1245
E6,1319
F6,1397
Gb6,1480
G6,1568
Ab6,1661
A6,1760
Bb6,1865
B6,1976
C7,2093
Db7,2217
D7,2349
Eb7,2489
E7,2637
F7,2794
Gb7,2960
G7,3136
Ab7,3322
A7,3520
Bb7,3729
B7,3951
C8,4186
